title,author,date,subjects,geographic_names
Grand plot of the Collegiate Kirk of Crail.,"Bell, Andrew -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Collegiate churches -- Antiquities (object genre) -- Scottish -- Measurements (dimensions) -- Scales (rules) -- Compasses (direction indicators),"Europe, United Kingdom, Scotland, Fife (unitary authority)"
"Plan of Pittenweem Priory, Fife.","Hutton, George Henry, -1827 -- Hutton, George Henry, -1827 -- Morton, Alexander, of Dunfermline, active 1813-1817",2005,Antiquities (object genre) -- Scottish -- Priories -- Lists (document genres) -- Rooms -- Buildings (structures),"Europe, United Kingdom, Scotland, Fife (unitary authority)"
Ruins of the Cathedral of St Andrews.,"Hutton, George Henry, -1827 -- Hutton, George Henry, -1827 -- Morton, Alexander, of Dunfermline, active 1813-1817",2005,Antiquities (object genre) -- Scottish -- Cathedrals -- Ruins,"Europe, United Kingdom, Scotland, Fife (unitary authority)"
"Watercolour drawing of Dunfermline Abbey, Fife.","Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Abbeys,"Europe, United Kingdom, Scotland, Fife (unitary authority)"
"View of St Rule's Tower & the west end of the Cathedral of St Andrews, Fifeshire.","Morton, Alexander, of Dunfermline, active 1813-1817 -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Castles (fortifications) -- Cathedrals -- Churches (buildings) -- Towers (single built works) -- Ruins,"Europe, United Kingdom, Scotland, Fife, Saint Andrews (inhabited place) -- Europe, United Kingdom, Scotland, Fife (unitary authority)"
Anct. Catl. St Andrews Fifeshire.,"Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Churches (buildings),"Europe, United Kingdom, Scotland, Fife, Saint Andrews (inhabited place) -- Europe, United Kingdom, Scotland, Fife (unitary authority)"
"Old Abbey of Lindores, or Lindoris.","Morton, Alexander, of Dunfermline, active 1813-1817 -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Abbeys -- Ruins -- Lists (document genres) -- Indexes (reference sources) -- Rooms,"Europe, United Kingdom, Scotland, Fife (unitary authority)"
"Plan of the Monastery of Inch Colm, N: Britain, 1822.","Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Monasteries -- Abbeys -- Scales (rules) -- Compass roses -- Notes -- Islands -- Bays -- Elevations (orthographic projections),"Europe, United Kingdom, Scotland, Fife (unitary authority) -- Europe, United Kingdom, Scotland, Fife, Inchcolm (island) -- Europe, United Kingdom, Scotland, Firth of Forth (bay)"
"Sketch of a Celtic standing stone at Dogton, Fife.","Hutton, George Henry, -1827 -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Menhirs -- Celtic (culture),"Europe, United Kingdom, Scotland, Fife (unitary authority)"
"Plans and elevations of St Salvator's Chapel, St Andrews, and of St Monans Church, Fife.","Morton, Alexander, of Dunfermline, active 1813-1817 -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Elevations (orthographic projections) -- Ground plans -- Chapels (rooms or structures) -- Churches (buildings),"Europe, United Kingdom, Scotland, Fife (unitary authority)"
"Dunfermline Abbey Church, Fifeshire, No. 119.","Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Abbeys -- Exterior views,"Europe, United Kingdom, Scotland, Fife (unitary authority)"
Dunfermline 1785.,"Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Abbeys -- Views (visual works) -- Ruins -- Monasteries -- East,"Europe, United Kingdom, Scotland, Fife (unitary authority)"
"Gravemarker from Inverkeithing Parish Church, Fife.","Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Tombstones (sepulchral monuments),"Europe, United Kingdom, Scotland, Fife (unitary authority)"
Perspective view of the abbey of Balmerino from the N.E.,"Hutton, George Henry, -1827 -- Hutton, George Henry, -1827 -- Morton, Alexander, of Dunfermline, active 1813-1817",2005,Antiquities (object genre) -- Scottish -- Cistercian -- Perspective views -- Abbeys,"Europe, United Kingdom, Scotland, Fife (unitary authority)"
"Lindores Abbey, Newburgh, Fife.","Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Abbeys -- Ruins -- Notes -- Attribution,"Europe, United Kingdom, Scotland, Fife (unitary authority)"
"Loch Leven Castle, 1783.","Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Lakes -- Shores (landforms) -- Castles (fortifications) -- Islands,"Europe, United Kingdom, Scotland, Fife (unitary authority) -- Europe, United Kingdom, Scotland, Perth and Kinross, Leven, Loch (lake)"
"Castle of Loch Leven, July 23, 1781.","Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Castles (fortifications) -- Islands -- Lakes,"Europe, United Kingdom, Scotland, Fife (unitary authority) -- Europe, United Kingdom, Scotland, Perth and Kinross, Leven, Loch (lake)"
"Loch Leven Castle, Fife, 1807.","Crofton, Alicia -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Lakes -- Castles (fortifications),"Europe, United Kingdom, Scotland, Perth and Kinross, Leven, Loch (lake) -- Europe, United Kingdom, Scotland, Fife (unitary authority)"
"Muness Castle in Shetland, 1792.","Columbine, Edward Henry, 1762-1811 -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Castles (fortifications) -- Tower houses (defensive structures) -- Towers (building divisions) -- Circular (shape) -- Description -- Measurements (dimensions),"Europe, United Kingdom, Scotland, Shetland (unitary authority)"
"Chart of Whithorn shoreline, Galloway.","Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Coastal charts -- Coastal towns -- Coastlines,"Europe, United Kingdom, Scotland, Dumfries and Galloway, Wigtown (general region)"
"St. William, King of Scots, surnamed the Lyon.","Munro, R., artist -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Copies (derivative objects) -- Portraits -- Kings (people) -- Scottish -- Founders (originators) -- Monasteries,
"In Wigtown Church yard, Galloway ,1811.","Hutton, George Henry, -1827 -- Hutton, George Henry, -1827 -- Whithorn Priory (Whithorn, Scotland)",2005,Antiquities (object genre) -- Scottish -- Latin (language) -- Inscriptions -- Tombstones (sepulchral monuments) -- Fragments (object portions) -- Dominican -- Friars,"Europe, United Kingdom, Scotland, Dumfries and Galloway, Wigtown (general region)"
Rubbing of unidentified monumental inscription.,"Hutton, George Henry, -1827 -- Hutton, George Henry, -1827 -- St. Machar's Cathedral (Aberdeen, Scotland)",2005,Antiquities (object genre) -- Scottish -- Lettering (layout features),
"View of the encampment, 1782.","Buccleuch, Henry Scott, Duke of, 1746-1812 -- Wales, James, 1746 or 7-1795 -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Military camps -- Drawings (visual works) -- Antiquities (object genre) -- Scottish -- Dedications -- Soldiers -- Kilts -- Women (female humans) -- Artillery -- Flags -- Colonels,
Transcript mentioning St Christopher.,"Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Transcripts -- Fragments (object portions) -- Inscriptions -- Saints -- Poems -- Latin (language),
"Crowned head on back of a charter, 1322, in College of Glasgow.","Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Copies (derivative objects) -- Drawings (visual works) -- Heads (representations) -- Crowns (costume components) -- Charters,
"Loch Leven Priory (south-east view) October 16, 1789, with a distant view of the castle.","Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Priories -- Ruins -- Views (visual works) -- Southeast -- Castles (fortifications),"Europe, United Kingdom, Scotland, Fife (unitary authority)"
"Loch Orr or Lochore Castle, Fife.","Hutton, George Henry, -1827 -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827 -- Grose, Francis, 1731?-1791",2005,Antiquities (object genre) -- Scottish -- Castles (fortifications) -- Ruins,"Europe, United Kingdom, Scotland, Fife (unitary authority)"
"Part of Lindores Abbey, Newburgh, Fife.","Hutton, George Henry, -1827 -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Abbeys -- Ruins,"Europe, United Kingdom, Scotland, Fife (unitary authority)"
"Pittenweem Priory, Fife.","Hutton, George Henry, -1827 -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827 -- Grose, Francis, 1731?-1791",2005,Antiquities (object genre) -- Scottish -- Ruins -- Priories -- Rivers -- Ships -- Views (visual works) -- North,"Europe, United Kingdom, Scotland, Fife (unitary authority) -- Europe, United Kingdom, Scotland, Forth (river)"
Roch Abbey in Yorkshire.,"Hutton, George Henry, -1827 -- Hutton, George Henry, -1827 -- Barrett, George, active 1785-1798",2005,Antiquities (object genre) -- Scottish -- Abbeys -- English -- Cistercian,"Europe, United Kingdom, England, Yorkshire (general region)"
"Rosyth Castle, Fife, where Oliver Cromwell's mother was born.","Hutton, George Henry, -1827 -- Hutton, George Henry, -1827 -- Grose, Francis, 1731?-1791",2005,Antiquities (object genre) -- Scottish -- Castles (fortifications),"Europe, United Kingdom, Scotland, Fife (unitary authority)"
Abbey of Inchcolm - West View.,"Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Abbeys -- Ruins -- Views (visual works) -- Dormitories (buildings),"Europe, United Kingdom, Scotland, Fife (unitary authority)"
Scalloway Castle in Shetland.,"Columbine, Edward Henry, 1762-1811 -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Sketches -- Copies (derivative objects) -- Castles (fortifications) -- Ruins -- Tower houses (defensive structures) -- Battlements,"Europe, United Kingdom, Scotland, Shetland (unitary authority)"
Old College at St Andrews.,"Cordiner, James, 1786-1849 -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Colleges -- Chapels (rooms or structures) -- Towers (building divisions),"Europe, United Kingdom, Scotland, Fife (unitary authority)"
"Abbey at Lindores, Newburgh, Fife.","Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Abbeys -- Ruins,"Europe, United Kingdom, Scotland, Fife (unitary authority)"
"Vaults in Dumferling [Dunfermline] Abbey, Fifeshire, No. 120.","Grose, Francis, 1731?-1791 -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Barrel vaults -- Medieval (European) -- Abbeys,"Europe, United Kingdom, Scotland, Fife (unitary authority)"
"Dumferline Abbey, Fifeshire, No 418.","Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Ruins -- Monasteries -- Abbeys -- Benedictine -- Walls -- South -- Refectories,"Europe, United Kingdom, Scotland, Fife (unitary authority)"
Part of Balmerino.,"Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Cistercian -- Abbeys,"Europe, United Kingdom, Scotland, Fife (unitary authority)"
"Abbey of Inchcolm, N.E. View, 1782.","Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Ruins -- Monasteries -- Sacristies -- Chapter houses -- Antiquities (object genre) -- Scottish -- Drawings (visual works) -- Abbeys -- Medieval (European),"Europe, United Kingdom, Scotland, Fife (unitary authority)"
"Antique Stone font, discovered in the Church of Inverkeithing.","Paterson, W., artist -- Mitchell, E. -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Drawings (visual works) -- Baptismal fonts -- Pedestals -- Decorations (ornaments) -- Angels (spirits) -- Coats of arms,"Europe, United Kingdom, Scotland, Fife (unitary authority)"
Culross Abbey.,"Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Cistercian -- Abbeys -- Towers (building divisions),"Europe, United Kingdom, Scotland, Fife, Culross (inhabited place) -- Europe, United Kingdom, Scotland, Fife (unitary authority)"
Abby church of Culross.,"Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Cistercian -- Abbeys -- Churches (buildings) -- Engravings (prints),"Europe, United Kingdom, Scotland, Fife (unitary authority)"
"Antique stone font, discovered in the Church of Inverkeithing.","Paterson, W., artist -- Mitchell, E. -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Baptismal fonts -- Drawings (visual works) -- Coats of arms -- Angels (spirits),"Europe, United Kingdom, Scotland, Fife (unitary authority)"
St Andrews from the east.,"Hutton, George Henry, -1827 -- Martine, George, 1635-1712 -- Hutton, George Henry, -1827 -- Morison, James, 1762-1809",2005,Antiquities (object genre) -- Towns -- Panoramas -- Ruins -- Cathedrals -- Plates (illustrations) -- Scottish,"Europe, United Kingdom, Scotland, Fife, Saint Andrews (inhabited place) -- Europe, United Kingdom, Scotland, Fife (unitary authority)"
"Notes on Scalloway Castle, Shetland.","Columbine, Edward Henry, 1762-1811 -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Letters (correspondence) -- Description -- Copies (derivative objects) -- Castles (fortifications) -- Houses,"Europe, United Kingdom, Scotland, Shetland (unitary authority)"
"St Andrews from the West, with the sea combat of the Dolphin and the Solbay with the 'Marshall Belleisle' French Frigate 1758.","Thurot, François, 1727-1760 -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Panoramas -- Towns -- Frigates -- Churches (buildings) -- Spires -- Naval ships,"Europe, United Kingdom, Scotland, Fife, Saint Andrews (inhabited place) -- Europe, United Kingdom, Scotland, Firth of Forth (bay) -- Europe, United Kingdom, Scotland, Fife (unitary authority)"
Remains of the ancient building on the Isle of May.,"Hutton, George Henry, -1827 -- Hutton, George Henry, -1827 -- Stevenson, Robert, 1772-1850",2005,Antiquities (object genre) -- Scottish -- Ruins -- Buildings (structures) -- Elevations (orthographic projections) -- Plan views,"Europe, United Kingdom, Scotland, Fife (unitary authority)"
Old Abbey of Balmerino.,"Morton, Alexander, of Dunfermline, active 1813-1817 -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Cistercian -- Abbeys -- Ruins -- Lists (document genres) -- Compasses (direction indicators) -- Signatures (names),"Europe, United Kingdom, Scotland, Fife (unitary authority)"
"Sketch of Dunfermline Abbey, Fife.","Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Abbeys -- Preliminary sketches (sketches),"Europe, United Kingdom, Scotland, Fife (unitary authority)"
Jeddsworth from the North.,"Augustinians -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Copies (derivative objects) -- Engravings (prints) -- Abbeys -- Views (visual works) -- North,"Europe, United Kingdom, Scotland, Scottish Borders, Jedburgh Abbey (ruins) -- Europe, United Kingdom, Scotland, Scottish Borders, Roxburgh (general region)"
"Ground plan, or horizontal section of the remains of the Cathedral of Dornoch, now converted into the Parish Church.","Shand, James -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Ground plans -- Cathedrals -- Scales (rules) -- Compasses (direction indicators) -- Notes,"Europe, United Kingdom, Scotland, Highland, Sutherland (general region)"
At Applecross.,"Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Monuments -- Stone (rock) -- Cruciform -- Crosses (motifs) -- Celtic (culture) -- Measurements (dimensions),"Europe, United Kingdom, Scotland, Ross and Cromarty (general region)"
Ground view of the Old Church of Tain.,"Shand, James -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Collegiate churches -- Antiquities (object genre) -- Scottish -- Interiors -- Measurements (dimensions) -- Scales (rules) -- Keys (texts),"Europe, United Kingdom, Scotland, Ross and Cromarty (general region)"
St Mary's Chapel on the Shiant Isles.,"Daniell, William, 1769-1837 -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Ground plans -- Chapels (rooms or structures),"Europe, United Kingdom, Scotland, Ross and Cromarty (general region)"
Tain.,"Shand, James -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Preliminary sketches (sketches) -- Collegiate churches -- Views (visual works) -- Elevations (orthographic projections),"Europe, United Kingdom, Scotland, Ross and Cromarty (general region)"
Fearn.,"Hutton, George Henry, -1827 -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Ground plans -- Abbeys,"Europe, United Kingdom, Scotland, Ross and Cromarty (general region)"
"Sketch of an arch, Fearn Abbey, Ross-shire.","Hutton, George Henry, -1827 -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Funerary sculpture -- Arches,"Europe, United Kingdom, Scotland, Ross and Cromarty (general region)"
Jedburgh Abbey - South view 1789.,"Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Rural areas -- Antiquities (object genre) -- Scottish -- Abbeys -- Ruins -- Views (visual works) -- South,"Europe, United Kingdom, Scotland, Scottish Borders, Jedburgh Abbey (ruins) -- Europe, United Kingdom, Scotland, Scottish Borders, Roxburgh (general region)"
Fearn Island Priory.,"Hutton, George Henry, -1827 -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish,"Europe, United Kingdom, Scotland, Ross and Cromarty (general region)"
Jedburgh Abbey from the north east.,"Ainslie, J. -- Rutherford, A. -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Engravings (prints) -- Abbeys -- Ruins,"Europe, United Kingdom, Scotland, Scottish Borders, Jedburgh Abbey (ruins) -- Europe, United Kingdom, Scotland, Scottish Borders, Roxburgh (general region)"
Jedburgh Church.,"Rutherford, A. -- Jameson, Robert, 1774-1854 -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Abbeys -- Ruins,"Europe, United Kingdom, Scotland, Scottish Borders, Jedburgh Abbey (ruins) -- Europe, United Kingdom, Scotland, Scottish Borders, Roxburgh (general region)"
Jedburgh Abbey from the north.,"Rutherford, A. -- Ainslie, J. -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Abbeys -- Ruins,"Europe, United Kingdom, Scotland, Scottish Borders, Jedburgh Abbey (ruins) -- Europe, United Kingdom, Scotland, Scottish Borders, Roxburgh (general region)"
"View of Portpatrick, Galloway.","Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Churches (buildings) -- Houses -- Villages -- Views (visual works),"Europe, United Kingdom, Scotland, Dumfries and Galloway, Portpatrick (inhabited place) -- Europe, United Kingdom, Scotland, Dumfries and Galloway, Wigtown (general region)"
"Abbey Church of Fearn, N.E. view.","Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Abbey churches -- Views (visual works) -- Northeast,"Europe, United Kingdom, Scotland, Ross and Cromarty (general region)"
Nunnery of Manuel.,"Morton, Alexander, of Dunfermline, active 1813-1817 -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Keys (texts) -- Annotations -- Convents (nunneries) -- Notes,"Europe, United Kingdom, Scotland, Stirling (unitary authority)"
"Melrose, from a sketch by Mr Blore.","Blore, Edward, 1787-1879 -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Copies (derivative objects) -- Sketches -- Abbeys,"Europe, United Kingdom, Scotland, Scottish Borders, Melrose Abbey (ruins) -- Europe, United Kingdom, Scotland, Scottish Borders, Roxburgh (general region)"
"Tain, from the East end of St Duthac's Chapel, Aug 10 1819.","Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Rural areas -- Antiquities (object genre) -- Scottish -- Chapels (rooms or structures) -- Ruins -- Collegiate churches -- Tollbooths -- Academies (institutions),"Europe, United Kingdom, Scotland, Ross and Cromarty (general region)"
Melrose. 1789.,"Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Ground plans -- Abbeys -- Annotations,"Europe, United Kingdom, Scotland, Scottish Borders, Melrose Abbey (ruins) -- Europe, United Kingdom, Scotland, Scottish Borders, Roxburgh (general region)"
"Rubbing taken from Whithorn Priory, Galloway.","Hutton, George Henry, -1827 -- Hutton, George Henry, -1827 -- Whithorn Priory (Whithorn, Scotland)",2005,Antiquities (object genre) -- Scottish -- Priories,"Europe, United Kingdom, Scotland, Dumfries and Galloway, Wigtown (general region)"
Ground plan of the ruins of the Cathedral of Ross.,"MacQueen, John, artist in Fortrose -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Ground plans -- Annotations -- Cathedrals -- Lists (document genres),"Europe, United Kingdom, Scotland, Highland, Fortrose (inhabited place) -- Europe, United Kingdom, Scotland, Ross and Cromarty (general region)"
Cathedral Church at Fortrose - North View.,"Hutton, George Henry, -1827 -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Cathedrals -- Views (visual works),"Europe, United Kingdom, Scotland, Highland, Fortrose (inhabited place) -- Europe, United Kingdom, Scotland, Ross and Cromarty (general region)"
"Littledean Tower, Roxburghshire, North View, 1789.","Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Towers (building divisions) -- Ruins -- Views (visual works) -- North,"Europe, United Kingdom, Scotland, Scottish Borders, Roxburgh (general region)"
"Kelso Abbey, N.E. View.","Hutton, George Henry, -1827 -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827 -- Grose, Francis, 1731?-1791",2005,Antiquities (object genre) -- Scottish -- Abbeys -- Ruins -- Views (visual works) -- Northeast -- Naves,"Europe, United Kingdom, Scotland, Scottish Borders, Roxburgh (general region)"
"Feature at Dunskey Castle, Wigtownshire.","Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Details (components) -- Architecture (object genre) -- Castles (fortifications),"Europe, United Kingdom, Scotland, Dumfries and Galloway, Wigtown (general region)"
"Font at the east end of Fortrose Cathedral, Ross-shire.","Hutton, George Henry, -1827 -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Holy water stoups -- Windows -- Walls -- Tombstones (sepulchral monuments) -- Cathedrals -- Interiors,"Europe, United Kingdom, Scotland, Ross and Cromarty (general region)"
At Fortrose.,"Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Cathedrals -- Monuments -- Funerary sculpture,"Europe, United Kingdom, Scotland, Ross and Cromarty (general region)"
Cathedral Church of Ross - South-East View.,"Hutton, George Henry, -1827 -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Cathedrals,"Europe, United Kingdom, Scotland, Ross and Cromarty (general region)"
